epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.308,2.07517,2.37394,1.31813,0.08784,0.62833,0.14976,0.05491,2.39644,3.02521,1.40128,0.00058,0.00058,0.00058
2,131.744,1.87557,1.23181,1.22784,0.42379,0.51473,0.46296,0.14427,2.44214,2.22075,1.41857,0.00106318,0.00106318,0.00106318
3,198.695,1.84427,1.15467,1.24614,0.75371,0.53438,0.63444,0.24906,2.28344,1.60301,1.31844,0.00142756,0.00142756,0.00142756
4,267.611,1.76219,1.08397,1.19809,0.72287,0.62553,0.68403,0.28492,2.168,1.21102,1.26123,0.001406,0.001406,0.001406
5,332.493,1.76208,1.04492,1.2084,0.72994,0.6672,0.7289,0.2967,2.07675,1.16871,1.24328,0.001208,0.001208,0.001208
6,399.162,1.71208,1.0186,1.18709,0.79405,0.70126,0.77288,0.34525,1.90236,1.04789,1.16666,0.00101,0.00101,0.00101
7,464.505,1.68712,0.98443,1.16035,0.78256,0.64306,0.70697,0.30044,2.14985,1.09168,1.27287,0.000812,0.000812,0.000812
8,531.881,1.66314,0.95616,1.16173,0.80002,0.70968,0.79818,0.37879,1.83887,1.00712,1.14201,0.000614,0.000614,0.000614
9,596.737,1.66002,0.94,1.1592,0.82565,0.67461,0.78391,0.3864,1.82323,1.01883,1.14385,0.000416,0.000416,0.000416
10,665.03,1.63397,0.92669,1.13805,0.83227,0.69939,0.80622,0.372,1.88627,0.99128,1.15279,0.000218,0.000218,0.000218
